game,agent_a,agent_b,a_starts,winner,avg_time_p1,avg_time_p2,nodes_p1,nodes_p2
46,Expectimax,RandomAgent,True,RandomAgent,4.368691166707625,0.0,77656,0
47,Expectimax,RandomAgent,False,Expectimax,0.0,1.2904909000499174,0,20630
48,Expectimax,RandomAgent,True,RandomAgent,8.125977633365741,0.0,174610,0
49,Expectimax,RandomAgent,False,Expectimax,0.0,0.7923615666416784,0,20274
0,Expectimax,Stratagem,True,Stratagem,9.70301744993776,0.0,117244,0
1,Expectimax,Stratagem,False,Stratagem,0.0,5.068936700001359,0,46291
2,Expectimax,Stratagem,True,Stratagem,5.805864233290777,0.0,109774,0
3,Expectimax,Stratagem,False,Stratagem,0.0,0.8545317000243813,0,6791
4,Expectimax,Stratagem,True,Stratagem,4.3729170999722555,0.0,53226,0
5,Expectimax,Stratagem,False,Stratagem,0.0,1.1060322999643784,0,18952
6,Expectimax,Stratagem,True,Expectimax,11.146710600005463,0.0,156487,0
7,Expectimax,Stratagem,False,Stratagem,0.0,1.305486600031145,0,19916
8,Expectimax,Stratagem,True,Stratagem,4.151665499977146,0.0,79197,0
9,Expectimax,Stratagem,False,Stratagem,0.0,0.3256305999821052,0,4712
10,Expectimax,Stratagem,True,Stratagem,7.905383150093257,0.0,94360,0
11,Expectimax,Stratagem,False,Stratagem,0.0,1.1066644499078393,0,18987
12,Expectimax,Stratagem,True,Stratagem,4.358344099950045,0.0,52604,0
13,Expectimax,Stratagem,False,Stratagem,0.0,0.4047000000718981,0,13560
14,Expectimax,Stratagem,True,Stratagem,11.453182599972934,0.0,105204,0
15,Expectimax,Stratagem,False,Stratagem,0.0,2.813930300064385,0,38583
16,Expectimax,Stratagem,True,Stratagem,3.2411789000034332,0.0,100518,0
17,Expectimax,Stratagem,False,Stratagem,0.0,3.743244200013578,0,43623
18,Expectimax,Stratagem,True,Stratagem,7.360039449878968,0.0,150126,0
19,Expectimax,Stratagem,False,Stratagem,0.0,0.5228402998764068,0,6791
